epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
79,36006.4,0.44822,0.40874,0.08679,0.84955,0.76536,0.81258,0.58991,0.56458,0.47286,0.10762,0.004852,0.004852,0.004852
80,36464.7,0.54671,0.44225,0.1027,0.85226,0.76391,0.81244,0.59017,0.56236,0.47207,0.10667,0.004786,0.004786,0.004786
81,36922.9,0.53124,0.43786,0.1059,0.85068,0.7654,0.81258,0.58947,0.563,0.47296,0.10681,0.00472,0.00472,0.00472
82,37378.4,0.51821,0.42927,0.09792,0.85195,0.76584,0.81315,0.58934,0.56227,0.47342,0.10667,0.004654,0.004654,0.004654
83,37835.2,0.46882,0.4208,0.09123,0.85494,0.76384,0.81348,0.58976,0.56215,0.47344,0.10714,0.004588,0.004588,0.004588
84,38284.8,0.42552,0.41076,0.08453,0.85442,0.76378,0.81338,0.59009,0.56281,0.47359,0.10722,0.004522,0.004522,0.004522
85,38742.4,0.49375,0.4221,0.09413,0.85582,0.7649,0.81362,0.59068,0.56294,0.47262,0.10704,0.004456,0.004456,0.004456
86,39191.9,0.56372,0.44018,0.10435,0.85475,0.76461,0.81261,0.58994,0.56441,0.47262,0.10714,0.00439,0.00439,0.00439
87,39647.7,0.51394,0.43262,0.09624,0.84933,0.76659,0.81173,0.58943,0.56769,0.47237,0.10826,0.004324,0.004324,0.004324
88,40096.8,0.48614,0.42854,0.09409,0.85235,0.76426,0.81159,0.59002,0.56911,0.47228,0.10805,0.004258,0.004258,0.004258
89,40557.3,0.46193,0.42264,0.08891,0.85118,0.76428,0.81179,0.59058,0.5686,0.47166,0.10804,0.004192,0.004192,0.004192
90,41018,0.50396,0.42907,0.09425,0.85238,0.76246,0.81166,0.59027,0.57013,0.47246,0.10777,0.004126,0.004126,0.004126
91,41471.8,0.53281,0.43718,0.10197,0.8524,0.76273,0.8111,0.58977,0.5718,0.47266,0.10828,0.00406,0.00406,0.00406
92,41932.7,0.44116,0.42199,0.08916,0.84882,0.76362,0.81056,0.58973,0.57189,0.47273,0.10788,0.003994,0.003994,0.003994
93,42380.5,0.44066,0.41635,0.08885,0.84972,0.76468,0.81145,0.5905,0.56908,0.47345,0.10763,0.003928,0.003928,0.003928
94,42832,0.50396,0.43125,0.09632,0.85092,0.76387,0.81163,0.59054,0.57085,0.47362,0.10773,0.003862,0.003862,0.003862
95,43283.3,0.48955,0.43637,0.09617,0.85118,0.76436,0.8117,0.5908,0.57083,0.47338,0.10804,0.003796,0.003796,0.003796
96,43739.3,0.54033,0.43967,0.10158,0.85391,0.76236,0.81121,0.59067,0.57198,0.47302,0.1081,0.00373,0.00373,0.00373
97,44197.9,0.51294,0.43797,0.10133,0.85336,0.76268,0.8111,0.59028,0.57264,0.47264,0.10834,0.003664,0.003664,0.003664
98,44653.5,0.53319,0.43399,0.10602,0.8529,0.76227,0.81072,0.58981,0.57342,0.47276,0.1086,0.003598,0.003598,0.003598
99,45111,0.48071,0.43578,0.09595,0.84987,0.76534,0.81114,0.59013,0.57254,0.47278,0.10896,0.003532,0.003532,0.003532
100,45571.8,0.42225,0.40417,0.08254,0.8493,0.76505,0.81156,0.59079,0.5709,0.47328,0.10897,0.003466,0.003466,0.003466
101,46025.6,0.42946,0.40221,0.08307,0.85048,0.76462,0.81193,0.59119,0.57002,0.47349,0.10906,0.0034,0.0034,0.0034
102,46484.2,0.46826,0.41018,0.08677,0.85073,0.76441,0.8117,0.59166,0.56914,0.47396,0.10914,0.003334,0.003334,0.003334
103,46937.7,0.54354,0.42605,0.10208,0.85173,0.76404,0.81229,0.59162,0.56987,0.47338,0.10938,0.003268,0.003268,0.003268
104,47393.9,0.47982,0.41761,0.0922,0.84705,0.76795,0.81207,0.59158,0.56989,0.47379,0.10906,0.003202,0.003202,0.003202
