epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,31146.5,0.76521,0.46311,0.9896,0.85326,0.74727,0.81685,0.61301,0.93941,0.5748,0.98245,0.005248,0.005248,0.005248
74,31569.9,0.75191,0.45499,0.98698,0.8549,0.74624,0.8166,0.61308,0.93994,0.5756,0.98246,0.005182,0.005182,0.005182
75,31993.4,0.75508,0.45696,0.98842,0.84417,0.75453,0.81685,0.61273,0.94027,0.57165,0.98239,0.005116,0.005116,0.005116
76,32415.9,0.75596,0.45456,0.981,0.85237,0.74875,0.81732,0.61262,0.94076,0.56981,0.98206,0.00505,0.00505,0.00505
77,32840.1,0.76066,0.45443,0.98625,0.84803,0.75223,0.81835,0.6139,0.94057,0.56934,0.98117,0.004984,0.004984,0.004984
78,33264.3,0.75939,0.44867,0.9857,0.85073,0.75111,0.81823,0.61415,0.9408,0.56754,0.98046,0.004918,0.004918,0.004918
79,33688.9,0.75707,0.45555,0.98606,0.85173,0.75061,0.81826,0.61477,0.94077,0.56813,0.98038,0.004852,0.004852,0.004852
80,34112.6,0.74874,0.44591,0.98103,0.85022,0.75148,0.81861,0.61471,0.94035,0.56728,0.9803,0.004786,0.004786,0.004786
81,34535.2,0.74374,0.44394,0.98165,0.85767,0.74927,0.81945,0.61547,0.94024,0.56792,0.98032,0.00472,0.00472,0.00472
82,34959.4,0.74577,0.44431,0.97824,0.86197,0.74698,0.81997,0.61574,0.94057,0.56868,0.98052,0.004654,0.004654,0.004654
83,35383.4,0.74548,0.44337,0.97763,0.85997,0.74756,0.82011,0.61559,0.94061,0.56973,0.98027,0.004588,0.004588,0.004588
84,35806,0.73671,0.43475,0.9744,0.85401,0.75321,0.82055,0.61592,0.94041,0.57032,0.98,0.004522,0.004522,0.004522
85,36230.6,0.74466,0.43834,0.97671,0.85346,0.75248,0.82025,0.61595,0.94063,0.56946,0.98043,0.004456,0.004456,0.004456
86,36654.9,0.73922,0.43414,0.97178,0.85182,0.75476,0.82087,0.6166,0.94082,0.56874,0.98066,0.00439,0.00439,0.00439
87,37078.6,0.73903,0.43288,0.97369,0.85658,0.75263,0.82149,0.61674,0.94105,0.56848,0.98069,0.004324,0.004324,0.004324
88,37503.5,0.73124,0.43146,0.97258,0.86089,0.75096,0.82176,0.61715,0.94116,0.56875,0.98076,0.004258,0.004258,0.004258
89,37927.6,0.73939,0.43212,0.97197,0.86423,0.74975,0.82213,0.61717,0.94144,0.56976,0.98093,0.004192,0.004192,0.004192
90,38351.3,0.73019,0.4265,0.9686,0.86203,0.75176,0.82257,0.61751,0.94147,0.57085,0.9811,0.004126,0.004126,0.004126
91,38775.6,0.72508,0.42337,0.97144,0.86096,0.75295,0.82276,0.61795,0.94137,0.57205,0.98125,0.00406,0.00406,0.00406
92,39200,0.72721,0.42013,0.96747,0.85856,0.75455,0.82307,0.61821,0.94145,0.57285,0.98133,0.003994,0.003994,0.003994
93,39623.6,0.71796,0.41843,0.966,0.86029,0.75325,0.82316,0.61877,0.94158,0.57334,0.98165,0.003928,0.003928,0.003928
94,40047.6,0.71984,0.41684,0.96587,0.86328,0.75212,0.8234,0.61881,0.94171,0.57463,0.98177,0.003862,0.003862,0.003862
95,40471.7,0.71737,0.41573,0.96571,0.8597,0.75381,0.82342,0.61884,0.94169,0.57469,0.9817,0.003796,0.003796,0.003796
96,40895.3,0.71981,0.41445,0.96595,0.85683,0.75576,0.82378,0.61943,0.94169,0.57467,0.98148,0.00373,0.00373,0.00373
97,41318.8,0.71694,0.41282,0.96105,0.85757,0.75572,0.82399,0.61953,0.94168,0.57478,0.98145,0.003664,0.003664,0.003664
98,41743.2,0.71393,0.41492,0.95847,0.85668,0.75683,0.82418,0.61957,0.94153,0.57454,0.98132,0.003598,0.003598,0.003598
